iter	Passed	Remaining
1027	692	2676
1028	693	2675
1029	693	2674
1030	694	2673
1031	694	2672
1032	695	2670
1033	696	2670
1034	696	2668
1035	697	2668
1036	697	2667
1037	698	2665
1038	698	2664
1039	699	2663
1040	700	2663
1041	700	2662
1042	701	2661
1043	702	2660
1044	702	2659
1045	703	2658
1046	703	2657
1047	704	2656
1048	704	2654
1049	705	2653
1050	706	2652
1051	706	2651
1052	707	2651
1053	707	2649
1054	708	2648
1055	708	2647
1056	709	2647
1057	710	2646
1058	710	2645
1059	711	2644
1060	711	2643
1061	712	2642
1062	713	2641
1063	713	2640
1064	714	2639
1065	715	2639
1066	715	2638
1067	716	2637
1068	716	2636
1069	717	2634
1070	717	2633
1071	718	2632
1072	719	2631
1073	719	2630
1074	720	2629
1075	720	2628
1076	721	2627
1077	721	2626
1078	722	2625
1079	723	2624
1080	723	2623
1081	724	2622
1082	724	2621
1083	725	2620
1084	725	2619
1085	726	2618
1086	727	2617
1087	727	2616
1088	728	2614
1089	728	2613
1090	729	2612
1091	729	2611
1092	730	2610
1093	731	2609
1094	731	2609
1095	732	2607
1096	732	2606
1097	733	2605
1098	733	2604
1099	734	2603
1100	734	2602
1101	735	2601
1102	735	2600
1103	736	2599
1104	737	2598
1105	737	2597
1106	738	2595
1107	738	2594
1108	739	2593
1109	739	2592
1110	740	2591
1111	741	2590
1112	741	2590
1113	742	2589
1114	742	2588
1115	743	2586
1116	743	2585
1117	744	2584
1118	745	2584
1119	745	2583
1120	746	2582
1121	746	2581
1122	747	2580
1123	747	2579
1124	748	2578
1125	749	2577
1126	749	2576
1127	750	2575
1128	751	2575
1129	751	2574
1130	752	2573
1131	752	2572
1132	753	2571
1133	754	2570
1134	754	2569
1135	755	2568
1136	755	2567
1137	756	2566
1138	756	2566
1139	757	2565
1140	758	2563
1141	758	2562
1142	759	2561
1143	759	2561
1144	760	2559
1145	760	2558
1146	761	2557
1147	761	2556
1148	762	2555
1149	763	2554
1150	763	2553
1151	764	2552
1152	764	2551
1153	765	2550
1154	765	2549
1155	766	2548
1156	766	2547
1157	767	2546
1158	768	2547
1159	769	2547
1160	770	2546
1161	770	2545
1162	771	2544
1163	771	2543
1164	772	2542
1165	772	2541
1166	773	2541
1167	774	2540
1168	774	2539
1169	775	2538
1170	776	2537
1171	776	2536
1172	777	2535
1173	777	2534
1174	778	2533
1175	778	2532
1176	779	2532
1177	780	2531
1178	780	2530
1179	781	2528
1180	781	2527
1181	782	2527
1182	782	2526
1183	783	2525
1184	784	2524
1185	784	2523
1186	785	2522
1187	785	2521
1188	786	2520
1189	786	2519
1190	787	2518
1191	788	2517
1192	788	2516
1193	789	2515
1194	790	2516
1195	790	2515
1196	791	2514
1197	791	2513
1198	792	2512
1199	793	2511
1200	793	2510
1201	794	2509
1202	794	2508
1203	795	2507
1204	795	2506
1205	796	2505
1206	796	2503
1207	797	2503
1208	797	2502
1209	798	2501
1210	799	2500
1211	799	2499
1212	800	2498
1213	800	2497
1214	801	2495
1215	801	2494
1216	802	2493
1217	802	2492
1218	803	2492
1219	804	2491
1220	804	2490
1221	805	2489
1222	805	2487
1223	806	2487
1224	806	2486
1225	807	2485
1226	808	2484
1227	808	2484
1228	809	2483
1229	809	2482
1230	810	2481
1231	811	2480
1232	811	2480
1233	812	2479
1234	812	2478
1235	813	2477
1236	814	2478
1237	815	2477
1238	815	2476
1239	816	2475
1240	817	2475
1241	817	2474
1242	818	2473
1243	819	2473
1244	819	2472
1245	820	2471
1246	820	2470
1247	821	2469
1248	821	2468
1249	822	2467
1250	823	2466
1251	823	2466
1252	824	2465
1253	825	2466
1254	826	2465
1255	826	2464
1256	827	2464
1257	828	2463
1258	828	2462
1259	829	2461
1260	829	2460
1261	830	2459
1262	831	2459
1263	831	2458
1264	832	2458
1265	833	2457
1266	834	2458
1267	834	2457
1268	835	2456
1269	836	2455
1270	836	2454
1271	837	2453
1272	837	2452
1273	838	2452
1274	838	2451
1275	840	2452
1276	840	2451
1277	841	2450
1278	842	2449
1279	842	2449
1280	843	2448
1281	843	2447
1282	844	2446
1283	844	2445
1284	845	2444
1285	846	2444
1286	846	2443
1287	847	2443
1288	848	2442
1289	848	2441
1290	849	2440
1291	850	2439
1292	850	2438
1293	851	2437
1294	851	2436
1295	852	2435
1296	853	2435
1297	853	2434
1298	854	2433
1299	854	2432
1300	855	2431
1301	855	2430
1302	856	2429
1303	856	2428
1304	857	2428
1305	858	2427
1306	858	2426
1307	859	2425
1308	859	2424
1309	860	2423
1310	860	2422
1311	861	2421
1312	862	2420
1313	862	2420
1314	863	2419
1315	863	2418
1316	864	2417
1317	865	2416
1318	865	2415
1319	866	2414
1320	866	2414
1321	867	2413
1322	867	2412
1323	868	2411
1324	869	2410
1325	869	2409
1326	870	2408
1327	870	2407
1328	871	2406
1329	871	2406
1330	872	2405
1331	873	2404
